id,name,retailer,synonyms,status,Progress,date_created,date_updated,Matching Brand name,Confidence Score,Automated Status
4207897,Jantzen Classics,walmart-us,,pending,,2018-08-29 18:20:54,,,,
4207891,Patty Both,walmart-us,,pending,,2018-08-29 18:20:53,,,,
4207892,Bruno Menegatti,walmart-us,,pending,,2018-08-29 18:20:53,,,,
4207893,NV,walmart-us,,pending,,2018-08-29 18:20:53,,,,
4207894,Meatloaf,walmart-us,,pending,,2018-08-29 18:20:53,,,,
4207895,Lauren Active,walmart-us,,pending,,2018-08-29 18:20:53,,,,
4207896,Professor Foam,walmart-us,,pending,,2018-08-29 18:20:53,,,,
4207889,FIRSTLINE MFG CORP,walmart-us,,pending,,2018-08-29 18:20:52,,,,
4207890,The Twist,walmart-us,,pending,,2018-08-29 18:20:52,,,,
4207884,Steve Miller,walmart-us,,pending,,2018-08-29 18:20:51,,,,
4207885,FX,walmart-us,,pending,,2018-08-29 18:20:51,,,,
4207886,LensCovers Sunglasses,walmart-us,,pending,,2018-08-29 18:20:51,,,,
4207887,Aquarella Kids,walmart-us,,pending,,2018-08-29 18:20:51,,,,
4207888,Imperial Sandals,walmart-us,,pending,,2018-08-29 18:20:51,,,,
4207881,IcyDeals,walmart-us,,pending,,2018-08-29 18:20:50,,,,
4207882,Granton,walmart-us,,invalid,,2018-08-29 18:20:50,2018-09-28 07:15:43,,,
4207883,Grey Pneumatic,walmart-us,,pending,,2018-08-29 18:20:50,,,,
4207879,That Woman! Marlo Thomas,walmart-us,,pending,,2018-08-29 18:20:49,,,,
4207880,CREATIVE GOODS HAMILTON,walmart-us,,pending,,2018-08-29 18:20:49,,,,
4207877,Emoonland,walmart-us,,pending,,2018-08-29 18:20:48,,,,
4207878,Gatewood,walmart-us,,pending,,2018-08-29 18:20:48,,,,
4207874,Realtree Hardwoods,walmart-us,,pending,,2018-08-29 18:20:47,,,,
4207875,Hitch Haul,walmart-us,,pending,,2018-08-29 18:20:47,,,,
4207876,ASSEMBLED IN THE USA,walmart-us,,pending,,2018-08-29 18:20:47,,,,
4207872,No Name Brand,walmart-us,,pending,,2018-08-29 18:20:42,,,,
4207866,Harebrain Inc,walmart-us,,pending,,2018-08-29 18:20:42,,,,
4207867,AidanMattox,walmart-us,,pending,,2018-08-29 18:20:42,,,,
4207868,Kershies,walmart-us,,pending,,2018-08-29 18:20:42,,,,
4207870,Peeny M,walmart-us,,pending,,2018-08-29 18:20:42,,,,
4207871,Bear Grease,walmart-us,,pending,,2018-08-29 18:20:42,,,,
4207862,FSC,walmart-us,,pending,,2018-08-29 18:20:41,,,,
4207863,Calvin Klein Briefs,walmart-us,,pending,,2018-08-29 18:20:41,,,,
4207864,Aimeele,walmart-us,,pending,,2018-08-29 18:20:41,,,,
4207865,Frogg Toggs / Guntersville Breathables,walmart-us,,pending,,2018-08-29 18:20:41,,,,
4207859,4P11HQ-L-700,walmart-us,,pending,,2018-08-29 18:20:40,,,,
4207860,Fascinator,walmart-us,,pending,,2018-08-29 18:20:40,,,,
4207861,Pocket Monsters,walmart-us,,pending,,2018-08-29 18:20:40,,,,
